location,datetime,latitude,longitude,chickenpox
BUDAPEST,2005-01-03,47.4979,19.0402,168
BUDAPEST,2005-01-10,47.4979,19.0402,157
BUDAPEST,2005-01-17,47.4979,19.0402,96
BUDAPEST,2005-01-24,47.4979,19.0402,163
BUDAPEST,2005-01-31,47.4979,19.0402,122
BUDAPEST,2005-02-07,47.4979,19.0402,174
BUDAPEST,2005-02-14,47.4979,19.0402,153
BUDAPEST,2005-02-21,47.4979,19.0402,115
BUDAPEST,2005-02-28,47.4979,19.0402,119
BUDAPEST,2005-03-07,47.4979,19.0402,114
BUDAPEST,2005-03-14,47.4979,19.0402,127
BUDAPEST,2005-03-21,47.4979,19.0402,135
BUDAPEST,2005-03-28,47.4979,19.0402,116
BUDAPEST,2005-04-04,47.4979,19.0402,132
BUDAPEST,2005-04-11,47.4979,19.0402,129
BUDAPEST,2005-04-18,47.4979,19.0402,113
BUDAPEST,2005-04-25,47.4979,19.0402,114
BUDAPEST,2005-05-02,47.4979,19.0402,98
BUDAPEST,2005-05-09,47.4979,19.0402,140
BUDAPEST,2005-05-16,47.4979,19.0402,120
BUDAPEST,2005-05-23,47.4979,19.0402,173
BUDAPEST,2005-05-30,47.4979,19.0402,135
BUDAPEST,2005-06-06,47.4979,19.0402,143
BUDAPEST,2005-06-13,47.4979,19.0402,139
BUDAPEST,2005-06-20,47.4979,19.0402,155
BUDAPEST,2005-06-27,47.4979,19.0402,98
BUDAPEST,2005-07-04,47.4979,19.0402,87
BUDAPEST,2005-07-11,47.4979,19.0402,110
BUDAPEST,2005-07-18,47.4979,19.0402,70
BUDAPEST,2005-07-25,47.4979,19.0402,43
BUDAPEST,2005-08-01,47.4979,19.0402,37
BUDAPEST,2005-08-08,47.4979,19.0402,30
BUDAPEST,2005-08-15,47.4979,19.0402,21
BUDAPEST,2005-08-22,47.4979,19.0402,22
BUDAPEST,2005-08-29,47.4979,19.0402,15
BUDAPEST,2005-09-05,47.4979,19.0402,11
BUDAPEST,2005-09-12,47.4979,19.0402,7
BUDAPEST,2005-09-19,47.4979,19.0402,12
BUDAPEST,2005-09-26,47.4979,19.0402,5
BUDAPEST,2005-10-03,47.4979,19.0402,17
BUDAPEST,2005-10-10,47.4979,19.0402,11
BUDAPEST,2005-10-17,47.4979,19.0402,27
BUDAPEST,2005-10-24,47.4979,19.0402,23
BUDAPEST,2005-10-31,47.4979,19.0402,30
BUDAPEST,2005-11-07,47.4979,19.0402,48
BUDAPEST,2005-11-14,47.4979,19.0402,37
BUDAPEST,2005-11-21,47.4979,19.0402,32
BUDAPEST,2005-11-28,47.4979,19.0402,49
BUDAPEST,2005-12-05,47.4979,19.0402,67
BUDAPEST,2005-12-12,47.4979,19.0402,106
BUDAPEST,2005-12-19,47.4979,19.0402,83
BUDAPEST,2005-12-26,47.4979,19.0402,114
BUDAPEST,2006-01-02,47.4979,19.0402,129
BUDAPEST,2006-01-09,47.4979,19.0402,189
BUDAPEST,2006-01-16,47.4979,19.0402,79
BUDAPEST,2006-01-23,47.4979,19.0402,163
BUDAPEST,2006-01-30,47.4979,19.0402,110
BUDAPEST,2006-02-06,47.4979,19.0402,158
BUDAPEST,2006-02-13,47.4979,19.0402,182
BUDAPEST,2006-02-20,47.4979,19.0402,136
BUDAPEST,2006-02-27,47.4979,19.0402,207
BUDAPEST,2006-03-06,47.4979,19.0402,251
BUDAPEST,2006-03-13,47.4979,19.0402,141
BUDAPEST,2006-03-20,47.4979,19.0402,193
BUDAPEST,2006-03-27,47.4979,19.0402,169
BUDAPEST,2006-04-03,47.4979,19.0402,141
BUDAPEST,2006-04-10,47.4979,19.0402,193
BUDAPEST,2006-04-17,47.4979,19.0402,359
BUDAPEST,2006-04-24,47.4979,19.0402,268
BUDAPEST,2006-05-01,47.4979,19.0402,168
BUDAPEST,2006-05-08,47.4979,19.0402,338
BUDAPEST,2006-05-15,47.4979,19.0402,186
BUDAPEST,2006-05-22,47.4979,19.0402,266
BUDAPEST,2006-05-29,47.4979,19.0402,240
BUDAPEST,2006-06-05,47.4979,19.0402,162
BUDAPEST,2006-06-12,47.4979,19.0402,264
BUDAPEST,2006-06-19,47.4979,19.0402,133
BUDAPEST,2006-06-26,47.4979,19.0402,201
BUDAPEST,2006-07-03,47.4979,19.0402,236
BUDAPEST,2006-07-10,47.4979,19.0402,111
BUDAPEST,2006-07-17,47.4979,19.0402,76
BUDAPEST,2006-07-24,47.4979,19.0402,52
BUDAPEST,2006-07-31,47.4979,19.0402,30
BUDAPEST,2006-08-07,47.4979,19.0402,30
BUDAPEST,2006-08-14,47.4979,19.0402,74
BUDAPEST,2006-08-21,47.4979,19.0402,45
BUDAPEST,2006-08-28,47.4979,19.0402,41
BUDAPEST,2006-09-04,47.4979,19.0402,20
BUDAPEST,2006-09-11,47.4979,19.0402,15
BUDAPEST,2006-09-18,47.4979,19.0402,11
BUDAPEST,2006-09-25,47.4979,19.0402,10
BUDAPEST,2006-10-02,47.4979,19.0402,9
BUDAPEST,2006-10-09,47.4979,19.0402,35
BUDAPEST,2006-10-16,47.4979,19.0402,20
BUDAPEST,2006-10-23,47.4979,19.0402,19
BUDAPEST,2006-10-30,47.4979,19.0402,51
BUDAPEST,2006-11-06,47.4979,19.0402,53
BUDAPEST,2006-11-13,47.4979,19.0402,77
BUDAPEST,2006-11-20,47.4979,19.0402,62
BUDAPEST,2006-11-27,47.4979,19.0402,93
BUDAPEST,2006-12-04,47.4979,19.0402,78
BUDAPEST,2006-12-11,47.4979,19.0402,82
BUDAPEST,2006-12-18,47.4979,19.0402,84
BUDAPEST,2006-12-25,47.4979,19.0402,58
BUDAPEST,2007-01-01,47.4979,19.0402,114
BUDAPEST,2007-01-08,47.4979,19.0402,145
BUDAPEST,2007-01-15,47.4979,19.0402,93
BUDAPEST,2007-01-22,47.4979,19.0402,129
BUDAPEST,2007-01-29,47.4979,19.0402,114
BUDAPEST,2007-02-05,47.4979,19.0402,86
BUDAPEST,2007-02-12,47.4979,19.0402,127
BUDAPEST,2007-02-19,47.4979,19.0402,106
BUDAPEST,2007-02-26,47.4979,19.0402,211
BUDAPEST,2007-03-05,47.4979,19.0402,229
BUDAPEST,2007-03-12,47.4979,19.0402,145
BUDAPEST,2007-03-19,47.4979,19.0402,210
BUDAPEST,2007-03-26,47.4979,19.0402,267
BUDAPEST,2007-04-02,47.4979,19.0402,166
BUDAPEST,2007-04-09,47.4979,19.0402,168
BUDAPEST,2007-04-16,47.4979,19.0402,350
BUDAPEST,2007-04-23,47.4979,19.0402,224
BUDAPEST,2007-04-30,47.4979,19.0402,136
